q,qid,time,ids,stats
3,13,2172.742222856963,"['5573975', '42278130', '19278208', '10190462', '24918110', '663464', '44624045', '1196631', '7821634', '24273592']","{'total_tokens': 6081767, 'total_llm_calls': 7285, 'explanations': {}}"
4,36,2248.068104180973,"['25599283', '32534305', '4680262', '3654468', '34386619', '7595742', '37964706', '10660080', '3504761', '25787749']","{'total_tokens': 5559274, 'total_llm_calls': 7053, 'explanations': {}}"
5,42,2586.4771588810254,"['3613041', '1905095', '11862753', '23576726', '1946610', '16734530', '202259', '21564598', '18344910', '3761017']","{'total_tokens': 6291190, 'total_llm_calls': 6978, 'explanations': {}}"
6,48,1678.6896031200886,"['19205437', '26611094', '5573975', '33918970', '2030623', '25493293', '1196631', '21048969', '6670101', '13823200']","{'total_tokens': 5110680, 'total_llm_calls': 7578, 'explanations': {}}"
7,49,1773.7661383710802,"['5953485', '12909503', '36653415', '12337611', '16790253', '37328025', '12652963', '11771811', '35962023', '11532659']","{'total_tokens': 4586016, 'total_llm_calls': 6212, 'explanations': {}}"
8,50,2093.448679340072,"['9767444', '8994465', '7317051', '8671456', '19644821', '12337611', '25738896', '5468807', '36950726', '2030623']","{'total_tokens': 6063925, 'total_llm_calls': 7355, 'explanations': {}}"
9,51,2144.521340076928,"['8671456', '9558539', '4414547', '15721252', '4429932', '19130782', '15946643', '2030623', '44408494', '23576726']","{'total_tokens': 5068164, 'total_llm_calls': 7270, 'explanations': {}}"
10,53,2301.5081610359484,"['654735', '14471161', '7165938', '45638119', '8671456', '10559501', '7821634', '4414547', '15721252', '7795952']","{'total_tokens': 5250962, 'total_llm_calls': 7352, 'explanations': {}}"
11,54,2269.05411163799,"['5573975', '2030623', '46594244', '2405259', '4680262', '34268160', '40312663', '21258863', '5172048', '3701541']","{'total_tokens': 5038557, 'total_llm_calls': 7070, 'explanations': {}}"
12,56,2065.646632404998,"['6896063', '28806780', '43890638', '14434123', '22116439', '5386514', '23601616', '2452989', '5185871', '2316374']","{'total_tokens': 5425319, 'total_llm_calls': 7013, 'explanations': {}}"
13,57,2887.8852302359883,"['22038539', '31884697', '31347396', '7221410', '20460020', '22116439', '24995939', '15077696', '25157790', '42693833']","{'total_tokens': 7206936, 'total_llm_calls': 8339, 'explanations': {}}"
14,70,2648.413573757047,"['23460562', '27240699', '7915836', '751192', '5956380', '23972114', '36066871', '42489926', '21307488', '16465895']","{'total_tokens': 5767304, 'total_llm_calls': 7843, 'explanations': {}}"
15,72,3918.513612532988,"['8519911', '11369420', '14390137', '13779605', '18546584', '3835423', '1921218', '810480', '41774099', '4398832']","{'total_tokens': 11850717, 'total_llm_calls': 14458, 'explanations': {}}"
